title,price,description
"Washing, Moisturizing, Detangling with Dandruff Treatments ",8000,This is a one-time dandruff treatment
"Washing, Ayurvedic with Deep Conditioning (Treatment), Moisturizing and Detangling ",10000,"Washing,deep conditioning with Ayurvedic and moisturising& Detangling 
When Detangling and the hair is very tangled it attracts an extra fee."
"Washing, Moisturizing, Detangling with Intense Deep Conditioning (Moisturizing Treatment)",8000,
Trimming only,2000,"Trimming weak ends

Note:Appointment later than 20mins of arrival leads to cancellation 
When Detangling and the hair is very tangled it attracts an extra fee."
Blow Drying,4000,
"Washing, Rinse-out Conditioning, Moisturizing and Detangling",6000,"Shampooing and proper detangling 

Note:Appointment later than 20mins of arrival leads to cancellation 
When Detangling and the hair is very tangled it attracts an extra fee."
Trimming With Blow Drying ,5000,"Trimming weak ends

Note: Appointment later than 20mins of arrival leads to cancellation 
When Detangling and the hair is very tangled it attracts an extra fee."
Hot oil Treatments,5000,"Mixing of oils for scalp treatment 

Note: Appointment later than 20mins of arrival leads to cancellation "
Moisturizing and Detangling,2000,"Detangling of hair alone or In addition to all services 
Note: Kindly select this option to enable your hair process without obstacles 
When Detangling and the hair is very tangled it attracts an extra fee."
"Washing, Exfoliating, Moisturizing and Detangling",8000,"Shampooing, scalp scrub then moisturizing and Detangling. 

Note: Appointment later than 20mins of arrival leads to cancellation 

When Detangling and the hair is very tangled it attracts an extra fee."
After wash cornrows,500,2 pieces max
"Washing ,Moisturizing, deep conditioning with client full kit package.",5000,"This service requires the client complete product package such as shampoo, leave-in conditioner, hair butter 
, deep conditioner and oil .

Incomplete product package will lead to the full payment of the salon price.

When Detangling and the hair is very tangled it attracts an extra fee."
"Washing, protein deep conditioning treatment, moisturizing and detangling",10000,"Washing, protein deep conditioning treatment, moisturizing and detangling."
Starter loc - Short Hair (Medium/Regular),50000,This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.
Starter loc - Long Hair (Medium/Regular),70000,This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.
Starter loc - Short hair (Micro),70000,This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.
Starter loc - Long Hair (Micro),100000,This is an instant loc' using interlocing style. This service does not include washing and conditioning of the hair.
Interlocking/Relocking  Mini Locs - Jumbo sized/Regular Sized Locs,12000,"Interlocking or Relocking any style of Locs  
This is for Mini Locs, which are smaller cuts or sessions of Locs.
Note: This service does not include washing or conditioning of the hair. "
Interlocking/Relocking  Mini Locs - Medium Sized Locs (Interlocing and relocking),15000,"Interlocking or Relocking any style of Locs  
This is for Mini Locs, which are smaller cuts or sessions of Locs.
Note: This service does not include washing or conditioning of the hair. "
Interlocking/Relocking  Mini Locs,20000,"Interlocking or Relocking any style of Locs  
This is for Mini Locs, which are smaller cuts or sessions of Locs.
Note: This service does not include washing or conditioning of the hair. "
Sister Locs,70000,"Sister Locs are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you. This comes with washing and blowdrying.
70% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014
Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (5,000)

Cancellation/Rescheduling leads to forfeiture of 50% of amount paid, whether in full or part."
Sister Locs - Long Hair ,85000,"Sister Locs are only available during week days, weekends are no longer convenient. Please book for weekdays only, thank you. This comes with washing and blowdrying.
70% payment will be made to (6924798521) Moniepoint Microfinance Bank, Flourishrootshair Salon. Secure slot with proof of payment send to the office line 08110215014
Note: You are expected to come in by your appointment time. We give 20mins grace
 Any appointment later than this leads to cancellation or attracts extra charges (5,000)

Cancellation/Rescheduling leads to forfeiture of 50% of amount paid, whether in full or part."
Bridal Service ,60000,"Bridal Hair consultations and services, Consultations may require treatments and Trial sessions before the Wedding day.(these are included in the charge) "
Acrylic Set - Acrylic Toe,5000,Short Plain
Acrylic Set - Short Plain,12000,Short Plain
Acrylic Set - Medium Plain,15000,Short Plain
Acrylic Set - Long Plain,20000,Short Plain
Acrylic Set - XXL,24000,Short Plain
Gels on Nails ,7000,
All Toe Fixing - Big Toe Fixing,3000,
All Toe Fixing,4000,
Gel Polish on Natural Toes ,2500,
